Box,Strain,Date,Name,Genus,species,Strain Synonym,
1,JL51,7/24/18,Jul,Mortierella,elongata,,
1,JL52,7/24/18,Jul,Mortierella,elongata,,
1,JL53,7/24/18,Jul,Mortierella,humilis,,
1,JL54,7/24/18,Jul,Mortierella,elongata,,
1,JL55,7/24/18,Jul,Mortierella,alpina,,
1,JL56,7/24/18,Jul,Mortierella,elongata,,
1,JL57,7/24/18,Jul,Mucor,,,
1,JL58,7/24/18,Jul,Beniella,,,
1,JL59,7/24/18,Jul,Mortierella,elongata,,
1,JL60,7/24/18,Jul,Mucor,,,
1,JL61,11/6/18,Jul,Umbelopsis,,,
1,JL62,11/6/18,Jul,Beniella,,,
1,JL63,11/20/18,Jul,Mortierella,elongata,,
1,JL64,12/10/18,Jul,Mortierella,elongata,,
1,JL65,12/10/18,Jul,Mortierella,elongata,,
1,JL66,12/10/18,Jul,Mortierella,elongata,,
1,JL67,12/10/18,Jul,Mortierella,elongata,,
1,JL68,12/10/18,Jul,Mortierella,elongata,,
1,JL69,2/14/19,Jul,Mortierella,elongata,,
1,JL70,2/14/19,Jul,Mortierella,elongata,,
1,JL71,2/14/19,Jul,Mortierella,elongata,,
1,JL72,2/18/19,Jul,Umbelopsis sp.,,,
1,JL73,2/18/19,Jul,Penicillium,glandicola,,
1,JL74,3/12/19,Jul,Mortierella,elongata,,
1,JL75,3/12/19,Jul,Mortierella,alpina complex,,
1,JL76,3/12/19,Jul,Mortierella,alpina complex,,
1,JL77,3/12/19,Jul,Mortierella,alpina complex,,
1,JL78,3/12/19,Jul,Rhizopus,oryzae,,
1,JL79,3/12/19,Jul,Absidia?,,,
1,GBA20,8/22/18,AEB,,,,
1,GBA22,8/22/18,AEB,,,,
1,GBA24,8/18/18,AEB,,,,
1,GBA25,8/22/18,AEB,,,,
1,GBA30,8/22/18,AEB,,,,
1,GBA31,8/22/18,AEB,,,,
1,GBA33,8/22/18,AEB,,,,
1,GBA34,8/22/18,AEB,,,,
1,GBA35,8/22/18,AEB,,,,
1,GBA36,8/22/18,AEB,,,,
1,GBA39,8/22/18,AEB,,,,
1,GBA40,8/18/18,AEB,,,,
1,GBA41,8/22/18,AEB,,,,
1,GBA43,8/22/18,AEB,,,,
1,AD059,8/22/18,AEB,,,,
1,AD059,8/22/18,AEB,,,,
1,AD071,8/24/18,AEB,,,,
1,AD071,8/24/18,AEB,,,,
1,AD079,8/24/18,AEB,,,,
1,AD079,8/24/18,AEB,,,,
1,AD121,8/16/17,Ale,,,,
1,AD185wt,5/7/18,AEB,,,,
1,AD266+,4/4/18,AEB,,,,
1,KOD948,8/22/18,AEB,,,,
1,KOD1005+,4/4/18,AEB,,,,
1,KOD1015,4/4/18,AEB,,,,
1,KOD1030,4/4/18,AEB,,,,
1,KOD1030,8/22/18,AEB,,,,
1,KOD1030,8/22/18,AEB,,,,
1,KOD1233,4/4/18,AEB,,,,
1,AM1020,8/22/18,AEB,,,,
1,AM1020,8/22/18,AEB,,,,
1,NRRL6351,4/4/18,AEB,,,,
1,NRRL25252,4/4/18,AEB,,,,
1,MCA6362,4/20/18,Jul,,,,
1,1230,8/24/18,AEB,,,,
1,AV005+,4/4/18,AEB,,,,
1,TLT265,3/16/19,AEB,,,,
1,AZ501,3/16/19,AEB,,,,
1,4P243,3/16/19,AEB,,,,
1,AP5,7/22/19,NG,,,,
1,AP6,7/24/19,NG,,,,
1,AP7,7/24/19,NG,,,,
1,AP8,7/24/19,NG,,,,
1,AP9,7/24/19,NG,,,,
1,NG5,7/22/19,NG,,,,
1,NG6,7/24/19,NG,,,,
1,NG7,7/24/19,NG,,,,
1,NG8,7/24/19,NG,,,,
1,NG9,7/24/19,NG,,,,
1,JL111,7/24/19,NG,,,,
1,JL112,1/13/20,Jul,,,,
1,JL114,9/16/19,Jul,,,,
1,JL115,9/16/19,Jul,,,,
1,JL116,9/16/19,Jul,,,,
1,MC67,9/19/19,Jul,,,,
1,GB799,3/26/19,Jul,,,,
1,BP007,1/17/20,Jul,,,,
1,F10,1/17/20,Jul,,,,
2,NVP148,9/5/19,NVP,,,,
2,NVP125,9/5/19,NVP,,,,
2,NVP103,9/5/19,NVP,,,,
2,NVP153,9/5/19,NVP,,,,
2,AM989,,,,,,
2,PMI93R,6/3/15,1066,,,,
2,PMI93R,6/3/15,1066,,,,
2,AG77R,6/3/15,1066,,,,
2,PMI624R,6/3/15,NAB,,,,
2,PMI390,4/6/15,NVP,Clavulina,,,
2,CA0101d,4/6/15,NVP,Atractiella,,,
2,PMI526,4/6/15,NVP,Flagelloscypha,,,
2,95,4/6/15,NVP,Atractiella,,,
2,PMI82,6/3/15,NAB,Ilyonectria,,,
2,PMI930,6/3/15,NAB,Clavulina,,,
2,AG77 NoBac,6/3/15,NAB,Mortierella,,,
2,AG77-,6/3/15,NAB,,,,
2,PMI86 NoBac,6/3/15,NAB,,,,
2,AG93 NoBac,6/3/15,NAB,,,,
2,AG624 NoBac,6/3/15,NAB,,,,
2,PMI546,4/6/15,NVP,Lechythophora,,,
2,PMI1271,6/3/15,NAB,Melinomyces,,,
2,PMI12,6/3/15,NAB,Umbelopsis,,,
2,GMB2-,6/3/15,NAB,"S cleretia, Mortierella",,,
2,PMI789,6/4/15,NAB,Lachnum,,,
2,PMI526,4/6/15,NVP,Flagelloscypha,,,
2,GBAus3,6/3/15,NAB,Mortierella,alpina,,
2,PMI95,6/3/15,NAB,Atractiella,,,
2,PMI546,6/3/15,NAB,Lechythophora,,,
2,PMI82,4/6/15,NVP,Ilyonectria,,,
2,PMI152,6/3/15,NAB,Atractiella,,,
2,"PIM491, 209d",6/3/15,NAB,Thozetella,,,
2,PMI413,6/3/15,NAB,Leptodontidium,,,
2,GBAus20,5/10/17,NVP,,,,
2,GBAus24,5/10/17,NVP,,,,
2,GBAus25,5/10/17,NVP,,,,
2,GBAus27b WT,5/10/17,NVP,,,,
2,GBAus27b CU,5/10/17,NVP,,,,
2,GBAus30,5/10/17,NVP,,,,
2,GBAus31,5/10/17,NVP,,,,
2,GBAus33,5/10/17,NVP,,,,
2,GBAus35,5/10/17,NVP,,,,
2,GBAus36,5/10/17,NVP,,,,
2,NVP96,8/20/15,NVP,,,,
2,NVP98,8/25/15,,,,,
2,GBAus39,5/10/17,NVP,,,,
2,GBAus40,5/10/17,NVP,,,,
2,GBAus41,5/10/17,NVP,,,,
